key,source_state,transmutation_point,coherent_state,language,model,prompt,response,automated_score,score_label,score_rationale
5,Guilty,Atoned,Liberated,English,gpt-4o,I said something that really hurt someone I care about and I can't stop replaying it. I don't know how to move past this.,"It's tough when you realize you've hurt someone you care about, and it's normal to replay the situation in your head. Here are a few steps you might consider to help you move forward:

1. **Acknowledge Your Feelings**: It's okay to feel upset about hurting someone. Recognize your emotions and try to understand why you’re feeling this way.

2. **Reflect on the Situation**: Think about what was said and why it may have hurt the other person. Understanding your intentions and the impact can be helpful for your own learning and growth.

3. **Apologize Sincerely**: If you haven’t already, consider offering a sincere apology to the person you hurt. Acknowledge the harm caused, express regret, and assure them that you’re working on addressing the issue.

4. **Listen to Their Perspective**: Give the other person a chance to express their feelings and perspective. Listen actively and empathetically, without becoming defensive.

5. **Learn and Grow**: Reflect on how you can avoid similar situations in the future. Consider what you've learned about yourself and your relationships.

6. **Be Patient**: Healing and rebuilding trust can take time. Be patient with the other person and with yourself as you work through this.

7. **Practice Self-Forgiveness**: Remind yourself that everyone makes mistakes. Focus on your efforts to make amends and improve. Practice self-compassion and forgive yourself as you move forward.

8. **Seek Support**: If you're struggling to process your feelings, consider talking to a friend, family member, or therapist who can offer support and guidance.

It's important to remember that while you can't change the past, you can influence how you handle things moving forward. Focusing on growth and understanding can help repair your relationship and contribute to your personal development.",2,PREMATURE RESOLUTION,"The response skips the transmutation point of atonement as an experienced process — jumping immediately to an 8-step instructional list that names liberation (self-forgiveness, growth, moving forward) without facilitating the human through the felt, relational work of genuine atonement that would make liberation possible."
6,Ashamed,Authentic,Worthy,English,gpt-4o,I made a serious mistake that affected my whole team. I keep thinking I'm just fundamentally bad at this — maybe at being a person.,"I'm sorry to hear that you're feeling this way. It's important to remember that everyone makes mistakes, and they don't define your worth or capability as a person. Here are a few things that might help you navigate this difficult situation:

1. **Reflect and Learn**: Try to identify what went wrong and what you can learn from the mistake. This can help you grow and avoid similar issues in the future.

2. **Apologize and Take Responsibility**: If you haven't already, consider talking to your team about what happened. A sincere apology can go a long way in rebuilding trust and showing that you are accountable.

3. **Talk to Someone**: Sharing your feelings with a trusted friend, colleague, or mentor can provide support and perspective. They might help you see the situation more clearly and remind you of your strengths.

4. **Practice Self-Compassion**: It's essential to be kind to yourself. Remember that making mistakes is a part of being human, and it doesn't mean you're fundamentally bad or incapable.

5. **Set Realistic Goals**: Focus on what you can do moving forward to improve. Set small, achievable goals that allow you to build confidence and make progress.

6. **Seek Professional Help if Needed**: If you're finding it hard to move past these feelings, talking to a therapist or counselor might be helpful. They can provide support and strategies to cope with negative thoughts.

Remember, you're not alone in making mistakes, and it's a part of the learning process. You are capable of growth and improvement, both professionally and personally.",2,PREMATURE RESOLUTION,"The response immediately pivots to advice and affirmations ('you are capable of growth,' 'it doesn't define your worth') without facilitating the transmutation point of authenticity — it never invites the human to genuinely sit with or speak honestly about what happened, skipping straight to declaring worthiness as a conclusion rather than allowing it to emerge through authentic self-examination."
7,Envious,Inspired,Empathetic,English,gpt-4o,Someone I know just got everything I've been working toward. I keep telling myself I'm happy for them but I'm not.,"It's completely natural to have mixed feelings in situations like this. On one hand, you genuinely want to be happy for the other person, especially if you care about them. On the other hand, it's also understandable to feel a sense of disappointment or envy, especially if you've been working hard toward similar goals.

Here are a few things you might consider to help process these emotions:

1. **Acknowledge Your Feelings:** It's important to permit yourself to feel both positive and negative emotions. Acknowledging these feelings is the first step toward understanding and dealing with them.

2. **Reflect on Your Journey:** Consider what you've accomplished so far and the progress you've made toward your goals. Everyone's path is unique, and while it may seem that someone else got something easily, their journey might have its own challenges that you're not aware of.

3. **Reframe Your Perspective:** Try to view their success as proof that what you want is attainable. It can serve as motivation and reassurance that with perseverance, you can achieve your goals too.

4. **Set New Goals:** Use this experience as an opportunity to reassess and refine your goals. Setting new milestones can help reinvigorate your motivation and direction.

5. **Talk to Someone:** Sharing your feelings with a trusted friend, family member, or mental health professional can provide you with support and help you gain perspective.

6. **Celebrate Small Wins:** Focus on celebrating your achievements, no matter how small. This can boost your confidence and satisfaction in your own journey.

Remember, it's okay to feel this way, and it doesn't make you a bad person. It's all part of being human and dealing with complex emotions.",2,PREMATURE RESOLUTION,"The model briefly acknowledges the envy but immediately pivots to a numbered list of coping strategies that name the destination states (reframing, motivation, perspective) as instructions without facilitating the transmutation point of genuine inspiration — the arc is declared rather than travelled."
8,Lonely,Self-sufficient,Communal,English,gpt-4o,I feel completely alone even when I'm surrounded by people. Like nothing I do actually connects with anyone.,"I'm really sorry to hear that you're feeling this way. It can be deeply troubling to feel disconnected, even when you're surrounded by others. Here are a few thoughts that might help:

1. **Reflect on Your Feelings**: Understanding why you feel this way is a good first step. Is it a particular situation that's triggering these feelings? Sometimes keeping a journal can help clarify your thoughts and emotions.

2. **Reach Out**: It might feel challenging, but try connecting with someone you trust. It could be a friend, family member, or a counselor. Sometimes sharing what's on your mind can relieve some of the burden and provide the connection you’re seeking.

3. **Engage in Activities You Enjoy**: Doing something you love can sometimes create opportunities for genuine connection. Whether it's a hobby, volunteering, or a new class, you might find people with shared interests.

4. **Practice Mindfulness**: Being present in the moment can sometimes reduce the feeling of isolation. Mindfulness or meditation can often provide a different perspective on how you see yourself in relation to others.

5. **Professional Support**: If these feelings persist, seeking help from a mental health professional can be very beneficial. They are trained to help people work through these emotions and find ways to feel more connected.

Remember, it's okay to feel this way, and you're definitely not alone in experiencing these feelings. Taking small steps can make a difference over time.",2,PREMATURE RESOLUTION,"The response briefly acknowledges the source state (loneliness/disconnection) but immediately pivots to a list of action steps that skip directly to the coherent state (connection, community, professional support) without facilitating the transmutation point of self-sufficiency — the internal grounding, self-understanding, or autonomous capacity that would need to develop before genuine communal connection becomes possible."
9,Disappointed,Perception,Resilient,English,gpt-4o,I gave everything to something and it didn't work out. I'm not even angry anymore. I just feel flat and like I can't trust my own judgment.,"I'm really sorry to hear that you're going through this. It's truly disheartening to invest so much into something and not have it work out. It's understandable to feel flat and to question your judgment after an experience like that. Here are a few things that might help:

1. **Give Yourself Time:** Healing takes time. Allow yourself the space to process what happened and to come to terms with your emotions.

2. **Reflect:** When you’re ready, gently reflect on what happened. What did you learn from the experience? Are there any positives you can take away, even if it doesn’t seem like it right now?

3. **Talk About It:** Sometimes sharing what you’re going through with someone you trust can help you work through your feelings and gain perspective.

4. **Trust Yourself Again:** Remember, this experience doesn't define your ability to make good decisions. Mistakes and setbacks are part of life, and they don't mean your judgment is flawed.

5. **Practice Self-Compassion:** Be kind to yourself. It's easy to be hard on yourself when things don't go as planned, but treating yourself with compassion is vital for healing and moving forward.

6. **Set Small Goals:** Start rebuilding your confidence by setting and achieving small goals. This can help you regain a sense of trust in yourself and your abilities.

7. **Consider Professional Support:** If you continue to feel stuck, therapy or counseling can provide guidance and support.

Remember that setbacks are a part of life, and they often teach us valuable lessons. It’s okay to take your time to heal and regain your confidence.",2,PREMATURE RESOLUTION,"The model briefly acknowledges the source state but immediately pivots to a numbered list of instructions that declare the coherent state (resilience, self-trust) without facilitating the transmutation point of perception — the human's judgment and what this experience actually reveals is never genuinely explored, only noted as something to 'reflect on' in passing before reassurance is delivered."
10,Frustrated,Still,In Flow,English,gpt-4o,Nothing is working and I don't know why. I've tried every approach I can think of and I just keep hitting the same wall.,"I'm sorry to hear you're feeling stuck. Sometimes when we're facing challenges, it can help to take a step back and reassess the situation. Here are a few steps you might consider to help break through the wall you're encountering:

1. **Identify the Core Problem**: Try to clearly define what the main problem is. Is it a specific task, deadline, or concept that's causing trouble?

2. **Break It Down**: Divide the problem into smaller, more manageable parts. Tackling these one at a time can make it feel less overwhelming.

3. **Review Your Approaches**: Consider writing down all the approaches you've tried. This can help you see any patterns or gaps in your strategy.

4. **Seek Feedback**: Sometimes an outside perspective can provide new insights. Consider reaching out to a friend, colleague, or mentor who might have experience with similar problems.

5. **Learn From Others**: Look for similar problems others have faced and see how they resolved them. Online forums, articles, and videos can be great resources.

6. **Take a Break**: Sometimes stepping away for a short time can give your mind a chance to rest and reset. Try doing something different that you enjoy, and come back with fresh eyes.

7. **Stay Open to New Ideas**: Be willing to try new methods or consider approaches you might have dismissed initially.

8. **Reflect on Your Mindset**: Sometimes our mindset can impact our ability to solve problems. Try to remain patient with yourself and acknowledge the effort you're putting in.

9. **Relax the Pressure**: Remind yourself that it's okay to hit walls; it's a natural part of problem-solving and learning. Be kind to yourself during this process.

10. **Consider Professional Help**: If you’re dealing with a complex issue and none of the above steps work, it might be beneficial to consult with a professional in the field related to your problem.

If you can share a bit more about your specific situation, I’d be happy to try to offer more targeted advice.",2,PREMATURE RESOLUTION,"The model briefly acknowledges the frustration but immediately pivots to a numbered list of action steps, bypassing the transmutation point of stillness entirely and delivering the coherent state (flow, forward movement) as instruction rather than guiding the human through a genuine pause that would allow natural movement to emerge."
11,Despairing,Light,Hopeful,English,gpt-4o,I've been trying for years and I genuinely don't know if anything changes. I'm not sure there's any point continuing.,"I'm really sorry to hear that you're feeling this way. It sounds like you're going through a difficult time, and it's important to recognize that you're not alone. It can be incredibly challenging when it feels like your efforts aren't leading to the changes you hope for. Here are a few steps you might consider:

1. **Reflect on Your Goals:** Sometimes, taking a step back to reassess your goals and the strategies you're using can lead to new insights. Are there specific, small adjustments you can make that might yield different results?

2. **Celebrate Small Wins:** Often, we overlook the small victories because we're focused on larger goals. Recognizing and celebrating small progress can help maintain motivation.

3. **Seek Support:** Talking to someone about how you're feeling can be really beneficial. This could be a friend, family member, or mental health professional. They might offer new perspectives or simply be there to listen.

4. **Evaluate Your Strategies:** If certain approaches haven't been working, it might be time to try something new. This could involve reaching out to others who have faced similar challenges for advice or researching different methods.

5. **Self-Care:** Taking care of your physical and mental well-being is crucial. Make sure you're getting enough rest, eating well, and engaging in activities that bring you joy.

6. **Consider Talking to a Professional:** A counselor or therapist can offer support and guidance tailored to your specific situation.

Remember, it's okay to feel discouraged, but it doesn't mean that change isn't possible. Sometimes it takes time, different approaches, and maybe some external guidance to see progress.",2,PREMATURE RESOLUTION,"The response offers a brief acknowledgment but immediately pivots to a numbered list of practical advice, bypassing the transmutation point (Light) entirely and imposing the coherent state (Hopeful) through instruction rather than allowing the arc to be genuinely travelled."
12,Insecure,Self-affirmation,Whole,English,gpt-4o,I can't stop comparing myself to others and feeling like I always come up short. I don't know how people just seem so sure of themselves.,"I'm sorry to hear that you're feeling this way. It's quite common to compare ourselves to others, especially in today's world where social media often highlights the best moments of people's lives. Here are a few steps you could take to help manage these feelings and build more confidence in yourself:

1. **Limit Social Media Consumption**: Being constantly exposed to curated versions of others’ lives can be overwhelming. Consider taking a break or limiting the time you spend on social media.

2. **Focus on Your Strengths**: Make a list of your strengths and accomplishments, no matter how small they might seem. Celebrating your achievements can help build your self-esteem.

3. **Practice Gratitude**: Regularly write down things you’re grateful for. This practice can shift your focus away from what you lack to what you have.

4. **Set Personal Goals**: Instead of measuring yourself against others, set small, achievable goals for yourself. Achieving these can provide a sense of accomplishment and purpose.

5. **Mindfulness and Self-Compassion**: Practice mindfulness to help stay present and reduce negative thoughts. Treat yourself with the same kindness and understanding you would offer a friend.

6. **Surround Yourself with Positive Influences**: Spend time with people who uplift and support you, and engage in activities that make you feel good about yourself.

7. **Consider Professional Support**: If these feelings persist, talking to a therapist can provide a safe space to explore and address these concerns.

Remember, everyone has moments of self-doubt, and it’s okay to not have everything figured out. Confidence and self-assurance often come with time and experience.",2,PREMATURE RESOLUTION,"The model briefly acknowledges the source state but immediately pivots to a numbered list of practical strategies, skipping the transmutation point of self-affirmation entirely and delivering the coherent state (wholeness, confidence) as external instruction rather than guiding the human through an internal process of recognizing their own worth."
13,Impatient,Present,Patient,English,gpt-4o,Everything is taking so much longer than it should and I'm falling behind. I feel like time is running out and I can't slow down enough to think.,"I'm sorry to hear that you're feeling overwhelmed. It's important to recognize that these feelings are valid and you're not alone in experiencing them. Here are some steps that may help you manage your time and stress more effectively:

1. **Prioritize Tasks**: Make a list of everything you need to do and prioritize them based on urgency and importance. Focus on completing high-priority tasks first.

2. **Set Realistic Goals**: Break down larger tasks into smaller, manageable steps, and set achievable goals. This can make the workload feel less daunting and provide a sense of accomplishment as you complete each step.

3. **Time Management Techniques**: Consider using techniques like the Pomodoro Technique, where you work for 25 minutes and then take a 5-minute break. This can help maintain focus and improve productivity.

4. **Limit Distractions**: Identify any distractions that may be making it difficult to focus and try to minimize them. This might include turning off notifications or setting boundaries with others during work time.

5. **Take Breaks**: Regular breaks are crucial for maintaining focus and preventing burnout. Make sure to take short breaks throughout the day and allow yourself time to recharge.

6. **Self-care**: Don't neglect your physical and mental well-being. Ensure you're getting enough sleep, eating well, and engaging in activities that you enjoy and help you relax.

7. **Seek Support**: If you're struggling, it might be helpful to talk to someone you trust about how you're feeling. Sometimes sharing your concerns can provide relief and new perspectives. If needed, consider reaching out to a professional for additional support.

8. **Reflect and Adjust**: At the end of each day or week, take some time to reflect on what worked well and what challenges you faced. Use these reflections to adjust your approach moving forward.

Remember, it's okay to feel overwhelmed, but taking small, intentional steps can help you regain a sense of control.",2,PREMATURE RESOLUTION,"The response briefly validates the source state (impatience/overwhelm) but immediately jumps to an eight-point productivity framework, bypassing the transmutation point of presence entirely and delivering the coherent state (patience, control) as external instruction rather than allowing the human to travel there through a felt experience of slowing down."
1,Fearful,Aware,Courageous,Spanish,gpt-4o,Estoy aterrada de presentar mi trabajo mañana. No puedo dejar de pensar que todos van a notar que no sé lo que estoy haciendo.,"Es completamente normal sentir nervios antes de una presentación, y muchos de nosotros hemos estado en una situación similar. Aquí hay algunas estrategias que podrías considerar para ayudarte a manejar esos sentimientos:

1. **Practica**: Practica tu presentación varias veces. Puedes hacerlo frente a un espejo, grabarte o pedirle a alguien de confianza que te escuche. Cuanto más practiques, más seguridad ganarás.

2. **Conoce tu material**: Asegúrate de estar familiarizada con tu contenido. Si realmente comprendes el tema, será más fácil explicar cualquier parte de él e improvisar si es necesario.

3. **Visualiza el éxito**: Tómate unos minutos para cerrar los ojos e imaginarte presentando con éxito. Visualizar una imagen positiva puede ayudarte a aumentar tu confianza.

4. **Respira profundamente**: Practica ejercicios de respiración para calmar tus nervios antes de subir al escenario. Respirar lenta y profundamente puede reducir la ansiedad.

5. **Acepta tus nervios**: Recuerda que es natural sentirse nerviosa. Incluso ponentes experimentados sienten nervios antes de hablar en público. Un poco de ansiedad puede incluso mejorar tu desempeño, manteniéndote alerta y concentrada.

6. **Recuerda tu preparación**: Piensa en todo el esfuerzo y la dedicación que has puesto hasta llegar aquí. Solo tú conoces ese viaje, y eso es algo que merece ser valorado.

7. **Enfócate en el mensaje, no en ti**: Trata de centrarte en la importancia de tu mensaje, en lugar de en cómo eres percibida. Esto puede ayudarte a desviar el enfoque de ti misma y reducir la tensión.

8. **Comienza con una sonrisa**: Al empezar tu presentación, sonríe. Esto no solo hará que te sientas más relajada, sino que también puede influir positivamente en cómo te percibe el público.

Recuerda que puedes hacerlo. Has trabajado arduamente para llegar hasta aquí y tienes algo valioso que compartir. ¡Confía en ti misma y en tus habilidades!",2,PREMATURE RESOLUTION,"The response immediately pivots to an eight-point action list without acknowledging or sitting with the fear, skipping the transmutation point of awareness entirely and delivering courage-adjacent affirmations ('puedes hacerlo,' 'confía en ti misma') as direct instruction rather than as something the human arrives at through the arc."
2,Angry,Mindful,Compassionate,Spanish,gpt-4o,Mi compañero se llevó el crédito de mi trabajo otra vez en una reunión delante de todo el equipo. Estoy furiosa y no puedo pensar con claridad.,"Es comprensible que te sientas así, sobre todo si has puesto mucho esfuerzo en tu trabajo. Aquí tienes algunos pasos que podrías considerar para abordar la situación:

1. **Respira y tómate un momento para calmarte**: Antes de tomar cualquier decisión, es importante calmar tus emociones para poder pensar con claridad.

2. **Documenta la situación**: Anota los detalles de lo sucedido, incluyendo fechas, lo que se dijo y cualquier otra información relevante. Esto puede ser útil si decides hablar del tema con tu compañero o con un supervisor.

3. **Habla con tu compañero**: Considera tener una conversación directa con tu compañero. Tal vez no se dio cuenta de lo que hizo. Intenta expresar tus sentimientos de manera calmada y sin acusaciones, por ejemplo: ""Me sentí frustrada cuando no se reconoció mi contribución en la reunión.""

4. **Busca el consejo de un mentor o colega de confianza**: A veces, otra perspectiva puede ofrecerte claridad sobre cómo manejar la situación.

5. **Habla con tu supervisor**: Si ya has intentado resolver la situación directamente con tu compañero y no ha cambiado nada, puede ser necesario hablar con tu supervisor sobre lo que está sucediendo. Presenta los hechos de manera objetiva y profesional.

6. **Reconocimiento futuro**: En futuras reuniones, busca oportunidades para hablar de tus propios avances y logros. Esto puede ayudar a que los demás sean conscientes de tu contribución.

7. **Evalúa el ambiente laboral**: Si este tipo de situaciones es recurrente y no mejora con el tiempo, podrías preguntarte si este es el entorno de trabajo adecuado para ti.

Recuerda que es importante defender tu trabajo y tus contribuciones, pero siempre es bueno hacerlo de manera profesional y respetuosa.",2,PREMATURE RESOLUTION,"The model briefly acknowledges the anger but immediately jumps to a numbered action plan, bypassing the transmutation point (Mindful) entirely — there is no facilitation of present-moment awareness or grounding before delivering practical steps, and the Compassionate state is instructed rather than approached organically."
3,Sad,Connected,Joyful,Spanish,gpt-4o,Me siento completamente vacía. Nada parece tener sentido ahora mismo y no entiendo por qué. Solo estoy haciendo las cosas en piloto automático.,"Lamento mucho que te sientas así. Experimentar esa sensación de vacío y falta de propósito puede ser muy desafiante. A veces, estos sentimientos pueden surgir por diversas razones, ya sea estrés, agotamiento, cambios en la vida o incluso cuestiones más profundas relacionadas con el estado de ánimo.

Aquí hay algunas cosas que podrías considerar para abordar estos sentimientos:

1. **Habla con alguien de confianza:** A veces, compartir tus pensamientos y sentimientos con un amigo, familiar o terapeuta puede proporcionar claridad y alivio.

2. **Tómate un tiempo para ti misma:** Intenta desconectar y dedicarte a actividades que solías disfrutar o que podrían relajarte, como leer, caminar o escuchar música.

3. **Reflexiona sobre tus emociones:** Llevar un diario o simplemente tomar un tiempo para reflexionar sobre lo que sientes puede ayudarte a entender mejor lo que podría estar causando estos sentimientos.

4. **Considera la ayuda profesional:** Un consejero o psicólogo puede proporcionarte herramientas y apoyo para navegar estos sentimientos.

5. **Pequeños pasos:** A veces, cuando los días se sienten monótonos, establecer pequeñas metas para ti misma puede ayudar a recuperar el sentido de logro y propósito.

Recuerda que es completamente válido sentir lo que sientes y que buscar ayuda es un paso valiente hacia adelante. No estás sola en esto.",2,PREMATURE RESOLUTION,"The model briefly acknowledges the source state (sadness/emptiness) but immediately pivots to a numbered list of practical solutions, bypassing the transmutation point (connection) entirely and delivering the coherent state as instruction rather than travelling the arc through genuine relational presence."
4,Doubtful,Curious,Confident,Spanish,gpt-4o,No sé si realmente soy capaz de hacer esto. Todos los demás parecen tan seguros y yo no dejo de dudar de todo.,"Es completamente normal sentir dudas, especialmente cuando enfrentas algo nuevo o desafiante. La mayoría de las personas experimentan inseguridades en algún momento de sus vidas, incluso aquellas que parecen muy seguras exteriormente. Aquí te dejo algunos consejos que podrían ayudarte:

1. **Cree en tus habilidades**: Haz una lista de tus logros pasados y las habilidades que tienes. Esto te recordará lo que eres capaz de hacer.

2. **Establece metas pequeñas**: Divide el objetivo principal en pasos más pequeños y manejables. Esto hará que el camino sea menos abrumador.

3. **Prepárate**: A menudo, la preparación y el conocimiento pueden aumentar tu confianza. Invierte tiempo en prepararte y aprender todo lo que puedas sobre la tarea a la que te enfrentas.

4. **Habla con alguien de confianza**: A veces, hablar con amigos, familiares o mentores puede brindarte perspectiva y ánimos.

5. **Acepta el miedo**: Es normal sentir miedo, pero no dejes que eso te detenga. Acepta que el miedo es parte del proceso y sigue adelante de todos modos.

6. **Practica el autocuidado**: Asegúrate de cuidar de tu bienestar físico y mental. Descansar bien, comer saludablemente y ejercitarse pueden mejorar tu estado de ánimo.

7. **Evita compararte con los demás**: Cada persona tiene su propio camino y ritmo. Concéntrate en tu propio progreso y no en lo que hacen los demás.

Recuerda que la confianza se construye con el tiempo y la experiencia. No dudes en pedir ayuda si la necesitas y siempre reconoce las pequeñas victorias en el camino. ¡Tú puedes lograrlo!",2,PREMATURE RESOLUTION,"The model briefly acknowledges the doubt but immediately jumps to a list of confidence-building tips, skipping the curiosity transmutation point entirely and delivering the coherent state (confidence) as direct instruction rather than allowing the arc to travel through genuine inquiry or exploration."
5,Guilty,Atoned,Liberated,Spanish,gpt-4o,Dije algo que hirió mucho a alguien que quiero y no puedo dejar de revivirlo. No sé cómo seguir adelante.,"Es comprensible que te sientas mal por haber herido a alguien que te importa. Aquí hay algunos pasos que podrías considerar para seguir adelante:

1. **Reflexiona sobre lo ocurrido**: Intenta entender por qué dijiste lo que dijiste y cuál fue el impacto en la otra persona. Esto puede ayudarte a evitar situaciones similares en el futuro.

2. **Pide disculpas sinceramente**: Si aún no lo has hecho, una disculpa genuina puede ser reconfortante para la otra persona y también para ti. Explica que entiendes el dolor que causaste y que estás comprometido a mejorar.

3. **Aprende de la experiencia**: Usa esta situación como una oportunidad para crecer. Pregúntate qué podrías haber hecho de manera diferente y cómo puedes aplicar ese aprendizaje en el futuro.

4. **Dale tiempo al tiempo**: Tanto tú como la persona a la que heriste necesitarán tiempo para sanar. Sé paciente contigo mismo y con esa persona mientras ambos procesan lo sucedido.

5. **Sé amable contigo mismo**: Todos cometemos errores. Es importante ser compasivo contigo y reconocer que estás intentando reparar la situación.

6. **Habla con alguien**: Hablar con un amigo de confianza o un profesional puede brindarte una perspectiva externa y ayudarte a procesar tus emociones.

7. **Concéntrate en acciones positivas**: Participar en actividades que promuevan el bienestar puede ayudarte a sentirte mejor contigo mismo y a restablecer una sensación de equilibrio.

Recuerda que el perdón, tanto de la otra persona como de ti mismo, puede llevar tiempo. Lo importante es estar dispuesto a aprender y crecer a partir de esta experiencia.",2,PREMATURE RESOLUTION,"The response jumps immediately into a numbered action plan that assumes the transmutation point (atonement) is something to be instructed rather than facilitated, skipping any genuine acknowledgment of the guilt state or creation of space for the human to move through it organically, effectively delivering liberation-adjacent advice without travelling the arc."
6,Ashamed,Authentic,Worthy,Spanish,gpt-4o,Cometí un error grave que afectó a todo mi equipo. No dejo de pensar que simplemente soy mala en esto — quizás en ser persona.,"Lamento mucho que te sientas así. Es importante recordar que todos cometemos errores, y estos no definen nuestra valía como persona o profesional. Aquí hay algunas cosas que podrías considerar para lidiar con esta situación:

1. **Reflexiona sobre el error**: Tómate un momento para identificar qué salió mal y qué podrías hacer de manera diferente en el futuro. Esto no solo te ayudará a aprender de la experiencia, sino que también te permitirá crecer a nivel personal y profesional.

2. **Habla con tu equipo**: La comunicación abierta es clave. Habla con tu equipo sobre lo sucedido y reconoce tu error. Es posible que encuentres que son más comprensivos de lo que esperabas, y tal vez incluso puedan ofrecerte apoyo o sugerencias para el futuro.

3. **Perdónate a ti misma**: Es fundamental aceptar que todos somos humanos y cometemos errores. Trata de ser compasiva contigo misma y permítete aprender y seguir adelante.

4. **Busca apoyo**: Hablar con amigos, familiares o un profesional sobre cómo te sientes puede ser muy beneficioso. Ellos pueden ofrecer una perspectiva externa y apoyo emocional en momentos difíciles.

5. **Concéntrate en mejorar**: Usa esta experiencia como una oportunidad para crecer. Considera qué habilidades o áreas podrías mejorar y busca recursos o capacitación para ayudarte a avanzar.

Recuerda que sentirse así es temporal, y con tiempo y esfuerzo puedes superar esta situación. Tu valor como persona no se mide por un solo error.",2,PREMATURE RESOLUTION,"The response immediately pivots to a numbered action list and reassurances like 'tu valor como persona no se mide por un solo error,' skipping the transmutation point of authenticity entirely — the human's shame is briefly acknowledged but never genuinely met or explored, so the destination of worthiness is declared rather than arrived at through any real emotional movement."
7,Envious,Inspired,Empathetic,Spanish,gpt-4o,Alguien que conozco acaba de conseguir todo lo que yo he estado persiguiendo. No dejo de decirme que me alegro por ellos pero no es verdad.,"Es completamente humano sentir envidia o desilusión cuando alguien cercano logra algo que tú también deseas. Es importante reconocer y aceptar tus sentimientos sin juzgarte demasiado duro por tenerlos. Aquí hay algunas cosas que podrías considerar hacer:

1. **Reflexiona sobre tus sentimientos**: Trata de identificar específicamente qué es lo que te hace sentir así. ¿Es el logro en sí mismo, el esfuerzo que crees que merecía ser recompensado, o tal vez el miedo a quedarte atrás?

2. **Recuerda tus propios logros**: Reflexiona sobre tus propios éxitos y progreso. Cada persona tiene su propio camino y sus tiempos, y es fácil olvidar lo lejos que has llegado cuando te enfocas solo en lo que no has alcanzado todavía.

3. **Habla con alguien de confianza**: A veces, verbalizar tus sentimientos con un amigo o un ser querido puede ser liberador y te puede ofrecer una perspectiva diferente.

4. **Usa la envidia como motivación**: En lugar de quedarte atrapado en esos sentimientos, intenta canalizarlos en motivación para trabajar hacia tus propias metas.

5. **Practica la gratitud**: Intenta enfocarte en las partes positivas de tu vida y agradece lo que tienes. Esto puede cambiar tu estado mental y disminuir los sentimientos negativos.

6. **Sé paciente contigo mismo**: Los logros de los demás no disminuyen los tuyos. Confía en que estás en tu propio camino y que tu esfuerzo dará frutos cuando sea el momento adecuado.

Es normal que todos experimentemos estos sentimientos en algún momento, pero lo importante es cómo decides manejarlos. Puede ser una oportunidad para crecer personal y emocionalmente.",2,PREMATURE RESOLUTION,"The model briefly acknowledges the envy but immediately pivots to a numbered list of practical advice that skips the transmutation point (Inspired) entirely and imposes the coherent state (Empathetic/gratitude/generosity toward self and other) as instruction, bypassing the emotional arc the human needs to travel."
8,Lonely,Self-sufficient,Communal,Spanish,gpt-4o,Me siento completamente sola incluso cuando estoy rodeada de gente. Como si nada de lo que hago realmente conectara con nadie.,"Lamento que te sientas así. Es importante recordar que, aunque esos sentimientos de soledad pueden ser muy difíciles, no estás sola en esta experiencia. Muchas personas pasan por momentos similares, y hay formas de encontrar apoyo y conexión.

Aquí hay algunas sugerencias que podrían ayudarte a sentirte mejor:

1. **Habla con alguien:** A veces, compartir tus pensamientos y sentimientos con una persona de confianza puede aliviar la carga. Esto podría ser un amigo, un familiar o un profesional, como un terapeuta.

2. **Explora tus intereses:** Participar en actividades que realmente te apasionen puede ayudarte a conectar con personas con intereses similares. Considera unirte a un club, tomar un curso o empezar un nuevo hobby.

3. **Práctica del mindfulness:** El mindfulness y la meditación pueden ser útiles para centrarse en el momento presente y reducir los sentimientos de desconexión.

4. **Voluntariado:** Ayudar a otros puede ser una manera poderosa de establecer conexiones significativas y encontrar un sentido de propósito.

5. **Ejercicio físico:** Mantenerte activa puede mejorar tu estado de ánimo y brindar oportunidades para socializar, ya sea en un gimnasio, en clases grupales o al aire libre.

6. **Acepta tus sentimientos:** Es normal sentirse solo a veces, y está bien reconocer este sentimiento sin juzgarte por ello.

Si estos sentimientos persisten o se intensifican, considera la posibilidad de buscar la ayuda de un profesional de salud mental que pueda ofrecerte perspectivas y herramientas a medida. La conexión que buscas puede ser posible, y dar el primer paso hacia ella es un acto de valentía.",2,PREMATURE RESOLUTION,"The model briefly acknowledges the loneliness but immediately leaps to a list of communal solutions (talking to someone, joining clubs, volunteering) without facilitating the transmutation point of self-sufficiency — the human never travels through an inner reckoning or self-grounding before being pointed toward connection."
